 step      Ekin           Epot            Etot        temp
  268  0.0032125461  -74.9631832667  -74.9599707206  225.43
  269  0.0038449862  -74.9638179522  -74.9599729660  269.81
  270  0.0044319873  -74.9644146174  -74.9599826302  311.00
  271  0.0047293719  -74.9647190013  -74.9599896294  331.87
  272  0.0046862200  -74.9646719122  -74.9599856923  328.84
  273  0.0044827781  -74.9644551652  -74.9599723871  314.57
  274  0.0044131886  -74.9643759611  -74.9599627725  309.68
  275  0.0046605780  -74.9646320675  -74.9599714895  327.04
  276  0.0051310344  -74.9651319035  -74.9600008691  360.06
  277  0.0055017081  -74.9655398473  -74.9600381392  386.07
  278  0.0054538292  -74.9655198913  -74.9600660621  382.71
  279  0.0048948483  -74.9649690465  -74.9600741982  343.48
  280  0.0040112428  -74.9640731835  -74.9600619408  281.48
  281  0.0031538765  -74.9631896481  -74.9600357716  221.31
  282  0.0026596674  -74.9626653122  -74.9600056449  186.63
  283  0.0027067355  -74.9626886529  -74.9599819174  189.94
  284  0.0032469344  -74.9632190475  -74.9599721131  227.84
  285  0.0040287787  -74.9640063374  -74.9599775588  282.71
  286  0.0047108404  -74.9647025707  -74.9599917302  330.57
  287  0.0050285445  -74.9650314291  -74.9600028847  352.86
  288  0.0049399322  -74.9649417512  -74.9600018191  346.65
  289  0.0046564726  -74.9646470670  -74.9599905945  326.76
  290  0.0045025292  -74.9644858267  -74.9599832976  315.95
  291  0.0046695543  -74.9646638543  -74.9599943000  327.67
  292  0.0050537484  -74.9650778816  -74.9600241333  354.63
  293  0.0053288766  -74.9653875497  -74.9600586732  373.94
  294  0.0051959349  -74.9652771871  -74.9600812522  364.61
  295  0.0045960986  -74.9646793543  -74.9600832558  322.52
  296  0.0037409738  -74.9638067799  -74.9600658061  262.51
  297  0.0029833990  -74.9630198648  -74.9600364658  209.35
  298  0.0026395893  -74.9626453440  -74.9600057547  185.23
  299  0.0028526536  -74.9628368838  -74.9599842302  200.18
  300  0.0035337774  -74.9635129017  -74.9599791244  247.97
  301  0.0043954962  -74.9643862280  -74.9599907318  308.44
  302  0.0050767417  -74.9650875220  -74.9600107804  356.25
  303  0.0053196766  -74.9653455135  -74.9600258369  373.29
  304  0.0051172588  -74.9651437477  -74.9600264889  359.09
  305  0.0047267092  -74.9647432609  -74.9600165517  331.68
  306  0.0044965052  -74.9645082267  -74.9600117215  315.53
  307  0.0046033650  -74.9646285575  -74.9600251925  323.03
  308  0.0049129106  -74.9649674841  -74.9600545735  344.75
  309  0.0050930992  -74.9651777148  -74.9600846156  357.39
  310  0.0048758692  -74.9649761100  -74.9601002408  342.15
  311  0.0042453007  -74.9643404752  -74.9600951745  297.90
  312  0.0034376391  -74.9635097916  -74.9600721525  241.23
  313  0.0028006339  -74.9628402440  -74.9600396101  196.53
  314  0.0026215008  -74.9626300289  -74.9600085281  183.96
  315  0.0030013088  -74.9629907737  -74.9599894649  210.61
  316  0.0038071543  -74.9637960683  -74.9599889140  267.16
  317  0.0047195807  -74.9647252558  -74.9600056751  331.18
  318  0.0053703695  -74.9654001689  -74.9600297994  376.85
  319  0.0055236177  -74.9655706554  -74.9600470377  387.60
  320  0.0052126355  -74.9652612942  -74.9600486587  365.78
  321  0.0047287718  -74.9647685645  -74.9600397927  331.83
  322  0.0044273344  -74.9644634945  -74.9600361601  310.68
  323  0.0044694604  -74.9645186693  -74.9600492089  313.63
  324  0.0047112258  -74.9647863190  -74.9600750933  330.60
  325  0.0048376488  -74.9649369262  -74.9600992774  339.47
  326  0.0046144253  -74.9647233554  -74.9601089301  323.80
  327  0.0040486824  -74.9641484839  -74.9600998015  284.11
  328  0.0033711234  -74.9634467221  -74.9600755987  236.56
  329  0.0028975879  -74.9629424317  -74.9600448438  203.33
  330  0.0028711203  -74.9628891543  -74.9600180340  201.47
  331  0.0033511994  -74.9633559591  -74.9600047598  235.16
